region,gender,age,education,race,uscitizen,maritalstatus,religion,religionattend,partyid,income,politics,hhsize,employstatus,extraversion,pextraversion,agreeableness,pagreeableness,conscientiousness,pconscientiousness,openness,popenness,neuroticism,pneuroticism,needforcognition,pneedforcognition,agency,pagency,communion,pcommunion,minimalism,pminimalism,bes,pbes,green,pgreen,crt2,pcrt2,fluid,pfluid,crystallized,pcrystallized,syllogism,psyllogism,actual,pactual,overconfidence,poverconfidence,overplacement,poverplacement,ultimatum_sender,pultimatum_sender,ultimatum_accepted,pultimatum_accepted,mentalaccounting,pmentalaccounting,socialdesirability,psocialdesirability,conscientiousness_w2,pconscientiousness_w2,anxiety,panxiety,hi,phi,hc,phc,vi,pvi,vc,pvc,finliteracy,pfinliteracy,numeracy,pnumeracy,deductive,pdeductive,forwardflow,pforwardflow,discount,pdiscount,presentbias,ppresentbias,riskaversion,priskaversion,lossaversion,plossaversion,trustgame_sender,ptrustgame_sender,trustgame_receiver,ptrustgame_receiver,rfs,prfs,sttw,psttw,depression,pdepression,cnfu,pcnfu,selfmonitor,pselfmonitor,scc,pscc,needforclosure,pneedforclosure,maximization,pmaximization,wason,pwason,dictator_sender,pdictator_sender
South,Male,18-29,"Some college, no degree",White,Yes,Never been married,Protestant,Once or twice a month,Republican,"$100,000 or more",Conservative,4,Student,3.5,75,4.111,62,4,53,3.6,41,2.5,47,4.056,79,6.833,90,7.667,74,4,77,3.45,23,3.667,52,2,59,2,71,7,64,8,71,19,69,11,43,5,72,60,93,100,100,75,70,5,48,8,100,0,12,4.75,82,5,100,3.5,81,5,100,6,91,6,61,4,100,0.737,6,0,40,0.143,87,-0.044,23,1.479,88,80,81,55,89,5.4,81,12,57,0,9,2.667,61,2.846,58,3.667,50,3.933,75,3.333,64,3,96,40,81
Midwest,Female,50-64,College graduate/some postgrad,White,Yes,Married,Nothing in particular,Seldom,Democrat,"$100,000 or more",Liberal,2,Unemployed,3.75,83,4.222,68,4.778,87,4.1,69,1.875,25,4.111,81,3.583,15,7.667,74,3.833,68,4.3,76,4.333,81,4,100,3,88,8,82,11,100,26,99,10,38,4,60,100,100,100,100,100,100,9,81,8,100,16,79,3.75,25,4.25,72,2.5,45,3.5,40,4,31,5,47,4,100,0.682,2,109.957,64,-0.067,8,0,36,0.888,55,100,100,33,29,4.9,53,13,62,9,54,2.25,43,2.846,58,4.083,63,2.867,16,3,45,3,96,40,81
South,Female,50-64,Postgraduate,White,Yes,Married,Protestant,Once or twice a month,Republican,"$50,000-$75,000",Conservative,3,Full-time employment,3,57,3.444,27,3.222,21,2.7,8,3.125,68,2.944,27,4.333,37,5.417,10,2.917,26,2.8,4,3,31,2,59,0,26,2,10,5,32,9,8,1,8,-20,1,20,10,50,10,25,9,5,48,4,19,27,93,3.25,11,3.25,22,2.75,55,3,22,6,91,8,100,2,6,0.825,53,1501213610697763.25,99,0.042,66,0.611,100,None,None,20,25,52,77,3.8,5,17,80,22,85,3,72,2.538,33,2.583,20,3,21,2.833,34,2,65,20,18
West,Female,30-49,Associate's degree,White,Yes,Separated,Other,Never,Independent,"$50,000-$75,000",Liberal,4,Self-employed,1.25,5,4.556,84,3.667,37,4.4,83,4.5,97,4.278,86,4.417,40,7.083,54,4.583,94,4.7,95,4.667,90,3,88,3,88,8,82,11,100,25,97,-5,2,-10,8,40,65,100,100,100,100,6,58,7,53,29,95,4.5,67,3.75,45,1.5,11,3.75,50,6,91,6,61,4,100,0.845,73,4390.346,76,-0.04,11,-0.028,25,0.39,12,40,61,48,73,4.7,41,12,57,28,92,3.083,75,2.692,46,2.25,11,3.6,54,4,92,2,65,40,81
Midwest,Female,50-64,High school graduate,Black,Yes,Never been married,Other,Seldom,Republican,"$50,000-$75,000",Conservative,2,Full-time employment,1.625,12,4.667,87,5,100,2.2,3,1,4,1.611,3,3.833,21,7.75,77,2.75,21,4.05,61,2.5,20,1,38,1,55,9,100,4,11,15,42,20,89,5,72,100,100,100,100,75,70,13,100,7,53,9,60,4.5,67,4,60,1,3,4.5,84,4,31,3,20,4,100,0.841,69,0,40,0,52,-0.256,5,None,None,100,100,75,98,3.5,2,8,18,9,54,1.667,23,1.846,3,5,100,3,21,1.5,1,3,96,40,81
South,Male,18-29,College graduate/some postgrad,Asian,Yes,Never been married,Nothing in particular,Never,Democrat,"$75,000-$100,000",Liberal,1,Full-time employment,1.375,7,3.444,27,3.667,37,3.1,18,2.75,56,4.056,79,5.833,76,7.25,59,3.167,37,3.35,19,2,11,2,59,3,88,4,27,5,32,14,35,22,93,4,60,40,65,100,100,100,100,10,88,7,53,5,42,3.5,17,3.25,22,2.5,45,3.75,50,5,57,8,100,4,100,0.83,58,8.944,55,-0.058,9,-0.128,12,None,None,60,77,55,89,4.4,24,11,48,18,79,1.583,20,2.231,14,3.083,33,3.533,50,3,45,2,65,40,81
West,Male,18-29,"Some college, no degree",Hispanic,Yes,Never been married,Buddhist,Never,Independent,"Less than $30,000",Moderate,1,Student,3.625,79,4.444,78,3,15,3.9,59,3.25,71,2.722,20,5.167,61,8.583,95,4,77,3.3,17,4.667,90,0,12,3,88,2,10,5,32,10,12,11,43,6,76,40,65,83.333,70,25,9,7,66,6,36,19,84,4,40,4.25,72,3.5,81,2.5,11,1,2,4,33,2,6,0.862,86,4.826,52,0.024,60,0.028,39,0.519,21,60,77,63,94,5.4,81,16,75,5,38,2.917,69,3.385,93,2.583,20,4,79,3,45,2,65,60,97
Midwest,Female,30-49,College graduate/some postgrad,Other,Yes,Never been married,Nothing in particular,Never,Independent,"Less than $30,000",Very liberal,1,Full-time employment,3.25,67,2.333,3,3.111,17,4.2,74,4.5,97,2.833,24,3.917,24,5.917,18,2.583,16,4.85,98,5,100,1,38,3,88,7,64,6,49,17,56,3,11,0,41,40,65,100,100,75,70,0,13,6,36,24,91,3.75,25,1,0,2,25,2.5,11,3,15,2,11,4,100,0.576,0,None,None,None,None,None,None,None,None,0,13,0,7,4.6,35,13,62,44,99,3.333,83,3.462,96,1.917,5,2.933,18,2.5,18,1,7,0,11
South,Female,30-49,"Some college, no degree",White,Yes,Never been married,Protestant,Seldom,Independent,"Less than $30,000",Moderate,1,Part-time employment,2.625,42,3.667,38,2.889,12,4.2,74,4.125,91,1.778,4,5.417,67,7.917,82,3.583,56,4.2,70,2.667,22,1,38,2,71,8,82,7,61,18,63,7,23,-10,8,40,65,83.333,70,25,9,3,31,8,100,26,92,3.5,17,3.75,45,2.25,35,3.25,29,4,31,4,33,4,100,0.789,24,4823.011,83,0.083,76,0.344,83,None,None,80,81,55,89,4.6,35,15,71,29,93,3.333,83,2.538,33,1.667,3,4.667,98,2.667,26,3,96,60,97
South,Male,50-64,College graduate/some postgrad,Other,Yes,Separated,Other,Once or twice a month,Independent,"$50,000-$75,000",Moderate,More than 4,Self-employed,3.875,87,4.889,95,4.778,87,4.4,83,3,64,3.278,43,7.167,93,6.5,34,4.417,91,3.65,35,4.5,86,4,100,2,71,9,100,4,11,19,69,11,43,5,72,40,65,50,10,25,9,11,93,8,100,30,95,4,40,4,60,4,93,4,64,6,91,1,4,3,15,0.875,92,22.469,58,0.073,74,0.311,80,None,None,0,13,11,8,5.8,93,11,48,22,85,3.333,83,3.538,97,2.25,11,4.267,89,4,92,4,100,20,18
